Client_ID,Client_Name,Business,Client_Group,Status,Waves,Division,Vertical,Business_Model,Frequency,Primary_KPI,Comparison
F005,Friends of Pinehurst Surgical Clinic,Friends of Pinehurst Surgical Clinic,Friends of Pinehurst Surgical Clinic,Inactive,,Echo,Medical,B2C,Monthly,Ad Conversions,Last Year Same Period
G001,Gailor Hunt,Gailor Hunt,Gailor Hunt,Inactive,1,Echo,Professional Services,B2C,Monthly,Ad Conversions,Last Year Same Period
G002,Garage Door Specialist,Garage Door Specialist,Garage Door Specialist,Active,2,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
G003,Glass Depots & Bi-Fold Depot,Glass Depots & Bi-Fold Depot,Glass Depots & Bi-Fold Depot,Inactive,2,Echo,Home Services,B2C,Monthly,Leads,Last Year Same Period
G004,Glenwood Village Dentistry,Glenwood Village Dentistry,Glenwood Village Dentistry,Active,1,Echo,Medical,B2C,Monthly,Ad Conversions,Last Year Same Period
G005,Golf Pride,Golf Pride,Golf Pride,Inactive,,Enterprise,Golf,B2C,Monthly,Website Conversions,Last Year Same Period
G006,Golf Pride - APAC Media,Golf Pride,Golf Pride,Inactive,,Enterprise,Golf,B2C,Monthly,Website Conversions,Last Year Same Period
G007,Golf Pride - CPX Campaign,Golf Pride,Golf Pride,Inactive,,Enterprise,Golf,B2C,Monthly,Website Conversions,Last Year Same Period
G008,Golf Pride - Evergreen Campaign,Golf Pride,Golf Pride,Inactive,,Enterprise,Golf,B2C,Monthly,Website Conversions,Last Year Same Period
G009,Goldco,Goldco,Goldco,Active,2,Enterprise,Professional Services,B2C,Monthly,Leads,Previous Period
H001,Hicks Landscaping,Hicks Landscaping,Hicks Landscaping,Active,1,Echo,Home Services,B2C,Monthly,Website Conversions,Last Year Same Period
H002,Hicks - American Artificial Turf Grass,Hicks Landscaping,Hicks Landscaping,Active,1,Echo,Home Services,B2C,Monthly,Website Conversions,Last Year Same Period
I001,Imperial Garden Restaurant,Imperial Garden Restaurant,Imperial Garden Restaurant,Active,1,Echo,Food & Bev,B2C,Monthly,Website Conversions,Last Year Same Period
I002,"Invited USA, Inc.",Invited,Invited,Active,,Enterprise,Golf,B2C,Monthly,Website Conversions,Last Year Same Period
I003,"Invited USA, Inc. (Google Ads Expansion)",Invited,Invited,Inactive,,Enterprise,Golf,B2C,Monthly,Website Conversions,Last Year Same Period
